order_id,order_date,delivered_hour_of_day,supplier_type,restaurant_brand,user_id,is_first_order,customer_zone_code
91822804,2024-10-03,21,Restaurant,Other,41472822,FALSE,9
80865675,2024-07-30,16,ODC,Other,93460277,FALSE,6
12277916,2024-11-05,19,Restaurant,Other,4577195,FALSE,18
82354329,2024-11-10,19,Restaurant,Other,845146,FALSE,5
94405510,2025-03-30,20,Restaurant,Other,55119723,FALSE,4
52246601,2024-11-03,18,Restaurant,Other,115879,FALSE,13
91101855,2024-08-13,19,Restaurant,Other,20862691,FALSE,5
2264676,2024-11-04,19,Restaurant,Other,24545113,FALSE,11
74496124,2025-04-05,18,Restaurant,Other,3217675,FALSE,2
12218437,2024-11-01,19,Restaurant,Other,27070785,FALSE,11
71064718,2024-08-11,14,Restaurant,Other,2158741,TRUE,2
63253551,2025-01-12,19,ODC,Other,55074869,FALSE,9
71465672,2024-09-07,20,Restaurant,Other,2908279,FALSE,6
71421008,2024-09-04,18,Restaurant,Other,87497214,FALSE,16
92568086,2024-11-24,20,Restaurant,Other,21636525,FALSE,5
81172239,2024-08-18,12,Restaurant,Other,49638689,FALSE,8
32721703,2024-12-05,16,Restaurant,Other,80353943,FALSE,15
41036423,2024-08-09,20,Restaurant,Other,4218663,FALSE,18
70053341,2024-06-04,18,Restaurant,Other,7737069,FALSE,11
43543334,2025-02-02,19,Restaurant,Other,2416723,FALSE,5
84222445,2025-03-19,13,Restaurant,Other,29325492,FALSE,9
44162554,2025-03-15,17,ODC,Other,20474096,FALSE,9
72542652,2024-11-23,15,Restaurant,Other,54682268,FALSE,6
3645634,2025-02-09,18,Restaurant,Other,3796295,FALSE,6
74647416,2025-04-15,10,Restaurant,Other,35628937,FALSE,14
22366558,2024-11-11,18,Restaurant,Other,48767127,FALSE,6
64851215,2025-04-27,19,Restaurant,Other,92243767,FALSE,9
974526,2024-08-06,12,Restaurant,Other,29087322,FALSE,
84837116,2025-04-27,11,Restaurant,Other,9300944,FALSE,4
30013285,2024-06-01,20,Restaurant,Other,906075,FALSE,6
33613401,2025-02-07,20,Restaurant,Other,853410,FALSE,5
3008322,2024-12-26,12,Restaurant,Other,81386397,FALSE,7
61077838,2024-08-12,11,Restaurant,Other,74649005,FALSE,9
3393528,2025-01-22,19,Restaurant,Other,24150018,FALSE,18
1993811,2024-10-16,20,Restaurant,Other,5026798,FALSE,9
94158596,2025-03-15,13,Restaurant,Other,8014093,FALSE,5
13201766,2025-01-09,12,Restaurant,Other,828724,FALSE,6
91547077,2024-09-13,20,Restaurant,Other,57958761,FALSE,8
43280071,2025-01-14,20,Restaurant,Other,28107797,FALSE,9
61835592,2024-10-04,20,Restaurant,Other,45145569,FALSE,18
22832027,2024-12-12,21,Restaurant,Brand A,30891745,FALSE,4
83473395,2025-01-28,14,Restaurant,Other,3878669,FALSE,9
31801173,2024-10-02,12,ODC,Other,95681679,FALSE,7
