order_id,gmv,net_commission_pct,discounting,gross_profit
3771668,11.424146,0.28,0,1.6976899
20762537,54.527077,0.3,0,13.1986
21884423,26.607975,0.33013698,0,-0.61069936
31480677,51.79631,0.3,0,3.0822294
41139612,7.9796076,0.24971752,0,-5.481256
71781296,50.24921,0.25005513,0,14.194327
63490286,50.02263,0.14,0,9.748697
81942318,7.16187,0.3,0,-7.312819
40579928,11.068428,0.21990292,0,-0.077109456
81704132,107.01344,0.23503879,0,16.329876
12500273,26.951904,0.32,-2.759882,8.944451
10493867,22.607445,0.270202,0,0.27950037
31526057,10.786374,0.3,0,0.2889711
61748438,30.786713,0.2800752,0,1.0163388
726937,22.050333,0.3,0,-0.012409193
23431357,9.784919,0.26,-0.74583584,-1.1717694
94366094,40.82093,0.2449848,0,13.142389
82783915,14.112543,0.110106386,0,-1.9974327
44069521,21.183937,0.1901099,0,-3.4320235
80281179,36.342735,0.24993531,-5.30995,0.06023632
60874604,8.254333,0.3,0,-4.8888927
2514969,9.388674,0.3,-2.342339,-1.3652875
91916890,51.19567,0.34989473,0,17.139437
93824836,31.767086,0.2699029,-1.7892526,6.1986237
4245074,21.397163,0.19,-2.5808725,-0.4160815
50928471,13.765142,0.28010753,0,4.007058
74275100,25.425327,0.24985507,-1.906909,3.9508128
4225079,39.74133,0.22987013,-1.0805583,4.0255013
40858449,9.689302,0.23,0,-0.9031552
20075767,16.106855,0.3,0,2.8104453
22469639,18.963997,0.27989024,0,-1.0628155
82067123,8.721086,0.3097561,-1.1320376,-1.2107416
84380922,8.752882,0.2599784,-1.1234877,-0.02023083
91796748,18.774122,0.25,-4.517944,5.794132
32179529,17.094948,0.18016194,0,-2.650888
31293723,15.319347,0.2496732,0,0.24955726
63411236,25.601074,0.26978418,0,2.2591856
41416375,11.119554,0.21977401,0,-3.8269248
70618809,30.842003,0.27995086,0,3.1315517
53358407,7.449524,0.2,-1.806134,-3.4447482
44525302,22.959547,0.16010638,0,-0.81865656
407617,18.748182,0.23006135,-2.7378314,-1.0911441
34553089,31.986858,0.27991968,-1.5946541,1.0959061
10751630,13.436256,0.28,0,-1.6220379
44045801,19.261642,0.23009118,0,5.3459744
34613852,80.689514,0.060009718,-1.6746418,-16.099367
54085807,22.267763,0.22011453,0,4.0805106
64111758,16.999266,0.19011858,0,2.3391876
91806097,36.906902,0.17990655,0,0.4763597
40499897,27.429285,0.3,0,0.89054334
93680417,15.3714905,0.17977528,0,-1.9858854
51016226,7.5236464,0.3,0,-0.6574574
12031160,38.419514,0.21985815,0,0.35007092
73112143,54.171196,0.27990314,-1.1838886,7.7597084
73957852,14.953985,0.27990654,-0.8289933,-0.04413013
74897081,19.469694,0.28,-2.449644,-1.2494156
60366000,28.83017,0.19,-1.2192727,2.0542781
32422096,28.734478,0.2,0,-3.031786
41649848,6.49123,0.27961165,0,4.1174574
32955967,6.88562,0.18984374,-1.0923263,-1.062289
91294930,18.676619,0.28982458,0,2.7335198
72152107,17.262375,0.19017544,-3.4268856,-4.591106
92073522,56.289677,0.3,0,10.36792
81366614,37.737553,0.24992248,0,4.21589
62805110,33.234997,0.3,-2.7924035,8.155217
82387547,16.911785,0.18995215,0,-2.0344732
12073193,27.007252,0.24982457,0,6.7471266
2601672,13.400606,0.3,0,1.0875618
81314425,13.164743,0.2,0,-1.2558439
332600,44.586166,0.17996135,0,0.59851074
22046618,11.389086,0.2,0,-0.793996
52318655,16.286526,0.2,0,-0.032545585
22984978,16.736612,0.2,0,0.011891028
92014863,18.754585,0.100137174,0,-0.5050866
31220385,19.375513,0.28,0,0.87154365
90636757,35.792076,0.32996255,-0.93314636,2.566431
4784396,22.026846,0.3,0,0.8581136
33709926,16.27017,0.18992537,0,-3.4569807
43429460,18.477478,0.17985612,-0.13415647,-0.9886718
21350750,27.857864,0.19,0,1.9170166
41630667,19.173553,0.21981981,0,3.4277906
81074729,33.722275,0.25,-2.719623,0.79344195
42090752,10.151043,0.2,-2.5153608,-1.290277
11364913,31.745514,0.29985857,0,0.31280103
23368384,48.101707,0.27997842,0,12.560875
90308876,7.818576,0.25015292,-3.5217028,-9.694183
32253545,18.933289,0.2,-2.2952242,-3.4312863
24512689,12.415386,0.27971014,-2.2492843,-2.71855
10112806,69.627174,0.25004742,0,12.123787
21328270,51.824673,0.099883854,0,-21.2661
34198390,52.0858,0.18591224,-1.7674217,5.813466
4293164,6.048235,0.25,-1.1822778,-3.611397
51432562,26.094715,0.18593407,0,0.034315128
93128101,48.67274,0.28005248,-1.2558455,7.9550934
82572582,97.295975,0.3,0,16.956436
91280029,21.777378,0.24980237,0,-2.1553552
44059299,31.338266,0.24492307,-3.4319463,-0.35752663
34521160,16.976387,0.2501695,-4.7523265,-2.1188054
42049879,11.625404,0.2,-1.6761122,-0.20566308
4702497,107.16315,0.28000847,0,9.860331
61368811,14.183151,0.22994012,0,1.4809566
20439808,13.040232,0.2701706,0,-0.25916186
90194439,13.151522,0.21,0,-5.375108
74073641,24.322445,0.25,0,6.1660385
63516951,15.96068,0.3,-0.90351087,-0.5182837
74350414,12.154381,0.3,-1.445468,-2.6359649
90230648,52.031036,0.3400703,0,17.079918
50233783,17.922237,0.28016454,-3.2694073,-7.3670225
44209072,8.693483,0.3,0,0.4411975
44002681,23.26104,0.32002383,0,3.962037
50906338,84.14027,0.3,0,13.887654
53671473,20.852608,0.3,-0.74725574,2.8649564
10496175,22.461042,0.2,0,-1.5901971
22647205,27.448418,0.24985129,0,1.5286077
72867716,13.929844,0.26,0,0.19254842
83415050,29.472466,0.2999154,-1.010382,2.484974
21177829,13.339304,0.2,0,-1.8165438
53530970,19.989279,0.29,0,-1.009087
70239509,19.603855,0.27,0,-0.17652027
